(.*)\n(.*)\n(.*)\n(^\s*$)\n(.*)\n(^\s*$)\n\$(.*)
"$1", "$2", "$3", "$5", "$7"
"June 26, 2021", "Tenderland Meats Vancouver", "mycredit Mastercard", "Food & dining", "17.68"
"June 25, 2021", "Safeway", "mycredit Mastercard", "Groceries", "9.39"
"June 25, 2021", "Indigo", "mycredit Mastercard", "Books", "11.20"
"June 25, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "67.00"
"June 24, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "9.00"
"June 23, 2021", "Walmart", "mycredit Mastercard", "Shopping", "101.81"
"June 23, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "34.34"
"June 23, 2021", "Mycredit reward program", "mycredit Mastercard", "Transfer", "+6.87"
"June 23, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "50.40"
"June 22, 2021", "Canadian Greeti", "Chequing Account", "Shopping", "1.37"
"June 21, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "49.44"
"June 21, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "16.35"
"June 19, 2021", "Sport Chek", "mycredit Mastercard", "Shopping", "55.45"
"June 19, 2021", "Safeway", "mycredit Mastercard", "Groceries", "43.89"
"June 19, 2021", "Cafe Crepe Vancouver", "mycredit Mastercard", "Food & dining", "6.83"
"June 19, 2021", "Indigo", "mycredit Mastercard", "Books", "44.71"
"June 19, 2021", "Sephora", "mycredit Mastercard", "Personal care", "20.16"
"June 19, 2021", "BC Liquor", "mycredit Mastercard", "Alcohol/bars", "37.37"
"June 18, 2021", "Casa Dolce Vancouver", "mycredit Mastercard", "Restaurants", "6.51"
"June 18, 2021", "Payment received thank you!", "mycredit Mastercard", "Transfer", "+2,000.00"
"June 18, 2021", "Online Mastercard transfer", "Chequing Account", "Transfer", "2,000.00"
"June 18, 2021", "The Ellis Bar", "Chequing Account", "Alcohol/bars", "43.47"
"June 17, 2021", "Wave", "Chequing Account", "Gifts", "+2,348.77"
"June 17, 2021", "Whole Foods Mar", "Chequing Account", "Food & dining", "33.58"
"June 17, 2021", "Educacentre", "Chequing Account", "Shopping", "+949.41"
"June 16, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "31.76"
"June 16, 2021", "Dona Lucia Esth", "Chequing Account", "Hairdresser", "91.25"
"June 14, 2021", "Cafe Villaggio", "Chequing Account", "Food & dining", "10.75"
"June 14, 2021", "Mountain Wareho", "Chequing Account", "Food & supplies", "142.79"
"June 11, 2021", "Walmart", "mycredit Mastercard", "Shopping", "137.17"
"June 10, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "33.29"
"June 9, 2021", "Whole Foods Market Vancouver", "mycredit Mastercard", "Food & dining", "47.86"
"June 8, 2021", "B Hydro Pap", "Chequing Account", "Gifts and donations", "22.07"
"June 7, 2021", "Steamworks", "Chequing Account", "Spa & massage", "65.69"
"June 7, 2021", "Local Kitsi", "Chequing Account", "Groceries", "46.11"
"June 7, 2021", "Online Mastercard transfer", "Chequing Account", "Transfer", "40.00"
"June 7, 2021", "BC Liquor", "Chequing Account", "Alcohol/bars", "30.30"
"June 5, 2021", "Payment received thank you!", "mycredit Mastercard", "Transfer", "+40.00"
"June 3, 2021", "Lift Bar Grill View Vancouver", "mycredit Mastercard", "Restaurants", "29.10"
"June 3, 2021", "Uber Eats", "mycredit Mastercard", "Food & dining", "36.65"
"June 3, 2021", "Wave", "Chequing Account", "Gifts", "+2,348.77"
"May 31, 2021", "INTERAC e-Transfer", "Chequing Account", "Transfer", "1,995.00"
"May 30, 2021", "Walmart", "mycredit Mastercard", "Shopping", "144.73"
"May 30, 2021", "Duuo By Cooperators Guelph", "mycredit Mastercard", "Finances", "17.23"
"May 28, 2021", "Independent Rent A Car Vancouver", "mycredit Mastercard", "Car rentals & taxis", "90.00"
"May 28, 2021", "Coal Harbour Li", "Chequing Account", "Alcohol/bars", "36.31"
